"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","7","27","17","0","0"
"Sample Applications","Hono Email Verification","Hono Email Code Verification Flow with Real Email","0","0","3","0","0"
"Sample Applications","Wagmi Next.js Email Verification","Wagmi Next.js Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Solana Next.js 15 No Wallet Adapter Email Verification","Solana Next.js 15 No Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Solana Next.js 15 Turbopack Wallet Adapter Email Verification","Solana Next.js 15 Turbopack Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Solana Vite Wallet Adapter Email Verification","Solana Vite Wallet Adapter Email Code Verification Flow","1","2","0","0","0"
"Sample Applications","Fastify Email Verification","Fastify Email Code Verification Flow with Real Email","0","0","3","0","0"
"Sample Applications","Next.js Email Verification","Next.js Email Code Verification Flow","0","2","1","0","0"
"Sample Applications","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification","Solana Next.js 15 Turbopack No Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Solana Next.js 14 No Wallet Adapter Email Verification","Solana Next.js 14 No Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","React.js Email Verification","React.js Email Code Verification Flow","0","1","2","0","0"
"Sample Applications","VanillaJS Embedded Email Verification","VanillaJS Embedded Email Code Verification Flow","0","1","2","0","0"
"Sample Applications","Solana Next.js 15 Wallet Adapter Email Verification","Solana Next.js 15 Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Solana Next.js 14 Wallet Adapter Email Verification","Solana Next.js 14 Wallet Adapter Email Code Verification Flow","0","3","0","0","0"
"Sample Applications","Wagmi Email Verification","Wagmi Email Code Verification Flow","2","1","0","0","0"
"Sample Applications","Solana Vite No Wallet Adapter Email Verification","Solana Vite No Wallet Adapter Email Code Verification Flow","1","2","0","0","0"
